probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv
0.0425,1,0.18,1,0.21,1,0.673333333,2,0.025,1,0.5775,2,0.18,1
0.79,2,0.222,1,0.72,1,0.48,1,0.38,1,0.0575,1,0.55,2
0.905,2,0.07,1,0.4,1,0.256666667,1,0.06,1,0.0975,1,0.69,2
0.0775,1,0.56,2,0.755,2,0.066666667,1,0.515,1,0.18,1,0.07,1
0.25,1,0.54,2,0.145,1,0.036666667,1,0.03,1,0.13,1,0.11,1
0.07,1,0.792,2,0.3,1,0.176666667,1,0.125,1,0.0625,1,0.54,2
0.4975,2,0.176,1,0.04,1,0.206666667,1,0.265,1,0.325,1,0.06,1
0.55,2,0.522,2,0.12,2,0.07,1,0.815,2,0.5825,1,0.03,1
0.1425,1,0.22,1,0.05,1,0.806666667,2,0.08,1,0.24,1,0.15,1
0.8225,2,0.672,2,0.675,2,0.633333333,2,0.335,1,0.36,1,0.1,1
0.1575,1,0.114,1,0.315,1,0.053333333,1,0.195,1,0.265,2,0.21,1
0.1025,1,0.212,1,0.28,1,0.023333333,1,0.365,1,0.1525,1,0.37,2
0.1975,2,0.256,1,0.14,1,0.13,1,0.395,2,0.575,2,0.27,2
0.16,1,0.168,1,0.27,1,0.073333333,1,0.235,1,0.135,1,0.05,1
0.5775,2,0.14,1,0.195,1,0.266666667,1,0.17,1,0.065,1,0.37,2
0.545,2,0.228,1,0.735,2,0.133333333,1,0.19,1,0.2075,1,0.41,1
0.6325,2,0.026,1,0.175,1,0.373333333,1,0.52,2,0.2425,2,0.07,1
0.625,2,0.034,1,0.595,2,0.316666667,1,0.06,1,0.3375,2,0.47,2
0.505,1,0.018,1,0.125,2,0.123333333,1,0.22,1,0.2175,1,0.06,1
0.12,1,0.208,1,0.235,1,0.466666667,1,0.035,1,0.395,2,0.61,2
0.015,1,0.772,2,0.275,1,0.453333333,2,0.245,1,0.7575,2,0.22,1
0.545,1,0.126,1,0.03,1,0.823333333,2,0.28,1,0.4975,2,0.34,1
0.355,1,0.052,1,0.085,1,0.043333333,1,0.215,1,0.15,1,0.19,1
0.025,1,0.088,1,0.53,2,0.073333333,1,0.325,1,0.56,2,0.11,2
0.06,1,0.02,1,0.195,1,0.166666667,1,0.08,1,0.1475,2,0.19,1
0.77,2,0.048,1,0.33,1,0.48,1,0.63,2,0.4375,1,0.52,2
0.1175,1,0.06,1,0.115,1,0.163333333,1,0.085,1,0.44,1,0.53,2
0.005,1,0.088,1,0.305,1,0.056666667,1,0.25,1,0.645,2,0.19,1
0.055,1,0.11,1,0.255,1,0.023333333,1,0.105,1,0.0525,1,0.04,1
0.14,1,0.21,1,0.115,1,0.106666667,1,0.42,1,0.32,1,0.25,1
0.0875,1,0.056,1,0.52,2,0.23,1,0.585,2,0.0525,1,0.56,2
0.07,1,0.1,1,0.06,1,0.36,1,0.465,2,0.5975,2,0.16,1
0.0375,1,0.63,2,0.575,2,0.343333333,1,0.25,1,0.345,1,0.65,2
0.1925,1,0.596,2,0.43,2,0.046666667,1,0.235,1,0.0275,1,0.17,1
0.345,1,0.316,1,0.625,2,0.21,1,0.145,1,0.13,1,0.09,1
0.615,2,0.312,1,0.105,1,0.803333333,2,0.43,2,0.13,1,0.27,2
0.0675,1,0.094,1,0.17,1,0.11,1,0.18,1,0.1175,1,0.49,2
0.005,1,0.172,1,0.03,1,0.133333333,1,0.04,1,0.1175,1,0.13,1
0.18,1,0.134,1,0.185,1,0.49,2,0.11,1,0.5675,2,0.47,2
0.33,1,0.084,1,0.005,1,0.643333333,2,0.2,1,0.13,1,0.35,1
0.0375,1,0.1,1,0.455,1,0.506666667,2,0.27,2,0.255,1,0.7,2
0.0225,1,0.24,1,0.105,1,0.106666667,1,0.26,1,0.235,1,0.16,1
0.3825,1,0.104,1,0.32,1,0.683333333,2,0.065,1,0.595,2,0.06,1
0.655,2,0.022,1,0.535,2,0.026666667,1,0.68,2,0.585,2,0.23,1
0.3,1,0.616,2,0.03,1,0.786666667,2,0.17,1,0.175,1,0.05,1
0.095,1,0.166,1,0.045,1,0.643333333,2,0.005,1,0.1975,1,0.63,2
0.37,1,0.444,2,0.47,2,0.596666667,1,0.495,1,0.505,2,0.57,2
0.1325,1,0.018,1,0.44,1,0.79,2,0.18,1,0.195,1,0.14,1
0.0075,1,0.62,2,0.63,1,0.436666667,1,0.18,1,0.2675,1,0.18,1
0.0075,1,0.06,1,0.49,1,0.13,1,0.115,1,0.23,1,0.4,1
0.1,1,0.03,1,0.05,1,0.056666667,1,0.39,2,0.5525,2,0.22,2
0.085,1,0.072,1,0.68,2,0.796666667,2,0.44,2,0.0875,1,0.25,1
0.275,1,0.752,2,0.42,2,0.123333333,1,0.585,2,0.56,1,0.04,1
0.0625,1,0.352,1,0.065,1,0.303333333,1,0.57,2,0.3575,1,0.46,2
0.315,1,0.03,1,0.425,1,0.013333333,1,0.415,2,0.305,1,0.2,1
0.7875,2,0.572,2,0.605,2,0.703333333,2,0.045,1,0.19,1,0.4,1
0.7725,1,0.69,2,0.305,1,0.61,1,0.365,2,0.7275,1,0.61,2
0.37,1,0.558,2,0.21,1,0.726666667,2,0.075,1,0.15,1,0.32,2
0.03,1,0.044,1,0.02,1,0.08,1,0.195,1,0.645,2,0.48,2
0.785,2,0.382,2,0.18,1,0.126666667,1,0.11,1,0.595,2,0.02,1
0.0625,1,0.698,2,0.1,1,0.09,2,0.65,2,0.39,1,0.03,1
0.0725,1,0.14,1,0.35,1,0.643333333,2,0.4,2,0.14,1,0.09,1
0.415,1,0.044,1,0.045,1,0.166666667,1,0.31,1,0.135,1,0.02,1
0.3425,1,0.34,2,0.025,1,0.553333333,2,0.09,1,0.56,2,0.09,1
0.0675,1,0.206,1,0.57,2,0.023333333,1,0.245,1,0.305,1,0.37,2
0.1475,1,0.246,1,0.1,1,0.073333333,1,0.695,2,0.1275,1,0.18,1
0.8025,2,0.056,1,0.575,2,0.03,1,0.055,1,0.065,1,0.15,1
0.5075,2,0.64,2,0.285,2,0.216666667,1,0.38,1,0.065,1,0.32,1
0.05,1,0.438,2,0.11,1,0.18,1,0.05,1,0.125,1,0.01,1
0.095,1,0.104,1,0.545,1,0.846666667,2,0.115,1,0.0875,1,0.06,1
0.0625,1,0.038,1,0.68,2,0.213333333,1,0.245,1,0.2975,1,0.2,1
0.5675,1,0.1,1,0.445,2,0.13,1,0.28,1,0.185,1,0.69,1
0.7825,2,0.068,1,0.3,2,0.053333333,1,0.25,1,0.1425,1,0.15,1
0.085,1,0.036,1,0.545,1,0.006666667,1,0.4,2,0.4225,1,0.16,1
0.01,1,0.482,2,0.7,2,0.013333333,1,0.08,1,0.4925,2,0.7,2
0.3925,1,0.088,1,0.33,1,0.69,2,0.01,1,0.1,1,0.5,2
0.5825,2,0.18,1,0.58,2,0.626666667,2,0.58,2,0.0875,1,0.34,1
0.2225,1,0.58,2,0.22,1,0.21,1,0.29,1,0.3475,1,0.35,1
0.095,2,0.144,1,0.31,1,0.03,1,0.485,1,0.2025,1,0.19,1
0.11,1,0.316,1,0.075,1,0.093333333,1,0.41,2,0.195,1,0.64,2
0.115,1,0.462,2,0.315,1,0.22,2,0.145,1,0.24,1,0.01,1
0.035,1,0.728,2,0.035,1,0.583333333,2,0.415,2,0.13,1,0.15,1
0.0775,1,0.286,2,0.065,1,0.293333333,1,0.09,1,0.3325,2,0.25,2
0.22,1,0.698,2,0.115,1,0.04,1,0.035,1,0.19,1,0.58,2
0.0475,1,0.246,1,0.22,1,0.016666667,1,0.075,1,0.1,1,0.32,2
0.3575,2,0.286,1,0.285,1,0.293333333,1,0.46,2,0.2375,1,0.15,1
0.1175,1,0.148,1,0.09,1,0.033333333,1,0.25,1,0.35,2,0.11,1
0.6725,1,0.01,1,0.455,1,0.633333333,2,0.285,1,0.53,2,0.06,1
0.73,2,0.118,1,0.27,1,0.586666667,2,0.545,2,0.05,1,0.37,1
0.5025,2,0.144,1,0.335,1,0.236666667,1,0.02,1,0.3575,2,0.14,1
0.3875,1,0.024,1,0.525,2,0.053333333,1,0.45,1,0.7025,2,0.49,2
0.0625,1,0.25,1,0.035,1,0.746666667,2,0.555,2,0.2925,1,0.23,1
0.26,1,0.73,2,0.13,1,0.643333333,2,0.155,1,0.26,1,0.52,2
0.11,1,0.026,1,0.385,2,0.646666667,2,0.575,2,0.175,1,0.03,1
0.09,1,0.094,1,0.195,1,0.046666667,1,0.09,1,0.665,2,0.06,1
0.0725,1,0.032,1,0.205,1,0.16,2,0.285,1,0.22,1,0.22,1
0.355,1,0.338,2,0.51,2,0.096666667,1,0.305,1,0.205,1,0.52,2
0.1,1,0.078,1,0.77,2,0.193333333,1,0.04,1,0.0575,1,0.42,2
0.41,2,0.518,2,0.42,1,0.06,1,0.3,1,0.43,2,0.53,2
0.3425,1,0.048,1,0.25,1,0.556666667,2,0.665,2,0.43,1,0.17,1
0.15,1,0.616,2,0.21,2,0.41,2,0.12,2,0.285,1,0.07,1
0.0125,1,0.774,2,0.675,2,0.79,2,0.345,1,0.125,1,0.35,1
0.605,2,0.074,1,0.195,1,0.463333333,1,0.125,1,0.1475,1,0.02,1
0.0225,1,0.268,2,0.025,1,0.13,2,0.165,1,0.3225,1,0.07,1
0.54,2,0.082,1,0.325,1,0.336666667,1,0.465,1,0.1775,1,0.09,1
0.0975,1,0.074,1,0.33,1,0.01,1,0.05,1,0.105,1,0.07,1
0.0575,1,0.146,1,0.5,2,0.266666667,1,0.155,1,0.2475,2,0.04,1
0.7675,2,0.708,2,0.04,1,0.356666667,1,0.7,2,0.0525,1,0.13,1
0.1225,1,0.368,1,0.295,2,0.156666667,1,0.12,1,0.3275,1,0.42,2
0.1,1,0.778,2,0.33,1,0.03,1,0.63,2,0.225,1,0.29,1
0.1075,1,0.19,1,0.145,1,0.04,1,0.185,1,0.3575,1,0.02,1
0.0325,1,0.054,1,0.235,1,0.21,1,0.5,2,0.375,2,0.16,1
0.785,2,0.098,1,0.715,2,0.056666667,1,0.065,1,0.495,2,0.09,1
0.17,1,0.416,2,0.405,1,0.043333333,1,0.67,2,0.05,1,0.29,1
0.41,1,0.654,2,0.375,1,0.573333333,1,0.185,1,0.05,1,0.28,1
0.64,2,0.842,2,0.02,1,0.26,1,0.23,1,0.42,1,0.53,2
0.1875,1,0.166,1,0.525,2,0.093333333,1,0.095,1,0.5175,2,0.06,1
0.02,1,0.162,1,0.735,2,0.963333333,2,0.415,2,0.155,1,0.69,2
0.6275,2,0.86,2,0.065,1,0.043333333,1,0.035,1,0.1525,1,0.14,1
0.3525,1,0.192,1,0.28,1,0.106666667,1,0.505,2,0.0875,1,0.16,1
0.0625,1,0.066,1,0.46,2,0.356666667,1,0.115,1,0.0625,1,0.64,2
0.82,2,0.142,1,0.57,1,0.36,1,0.23,1,0.21,1,0.08,1
0.015,1,0.11,1,0.61,2,0.17,1,0.315,1,0.465,2,0.06,1
0.06,1,0.55,2,0.045,1,0.416666667,2,0.095,1,0.0325,1,0.31,1
0.31,1,0.578,2,0.2,1,0.023333333,1,0.275,1,0.065,1,0.08,1
0.0025,1,0.394,1,0.765,2,0.46,2,0.05,1,0.645,2,0.19,1
0.0575,1,0.196,1,0.63,1,0.68,1,0.44,2,0.13,1,0.02,1
0.355,2,0.59,2,0.16,1,0.116666667,1,0.21,1,0.345,1,0.05,1
0.1225,1,0.446,1,0.525,2,0.816666667,2,0.105,1,0.495,2,0.63,2
0.005,1,0.52,1,0.51,2,0.083333333,2,0.43,2,0.5825,2,0.26,1
0.1825,1,0.024,1,0.28,1,0.013333333,1,0.15,1,0.195,1,0.27,1
0.0625,1,0.678,2,0.3,2,0.856666667,2,0.145,1,0.185,1,0.33,2
0.4825,1,0.358,2,0.29,1,0.02,1,0.24,1,0.5275,2,0.26,1
0.7975,2,0.316,1,0.74,2,0.423333333,2,0.565,2,0.1175,1,0.73,2
0.2325,1,0.308,2,0.045,1,0.67,1,0.055,1,0.3725,1,0.29,1
0.8625,2,0.108,1,0.145,1,0.423333333,1,0.4,2,0.04,1,0.37,1
0.0225,1,0.532,1,0.295,1,0.006666667,1,0.07,1,0.325,2,0.01,1
0.485,2,0.55,2,0.165,1,0.123333333,1,0.135,1,0.02,1,0.11,1
0.0925,1,0.288,1,0.045,1,0.183333333,1,0.18,1,0.6725,2,0.38,2
0.595,2,0.644,2,0.38,1,0.08,1,0.075,1,0.15,1,0.19,1
0.1625,1,0.272,1,0.25,1,0.026666667,1,0.38,2,0.3925,2,0.68,2
0.0375,1,0.408,1,0.595,2,0.016666667,1,0.56,2,0.64,2,0.23,1
0.3075,1,0.038,1,0.385,1,0.323333333,1,0.19,1,0.265,1,0.24,1
0.3825,2,0.346,1,0.165,1,0,1,0.21,1,0.1125,1,0.37,2
0.04,1,0.384,1,0.1,1,0.086666667,1,0.15,1,0.235,1,0.23,1
0.055,1,0.064,1,0.085,1,0.61,2,0.27,1,0.175,1,0.66,2
0.4875,1,0.15,1,0.38,2,0.07,1,0.16,1,0.055,1,0.02,1
0.7225,2,0.062,1,0.775,2,0.16,1,0.075,1,0.115,2,0.66,2
0.2275,1,0.11,2,0.61,2,0.466666667,2,0.03,1,0.4225,1,0.39,1
0.1875,1,0.196,2,0.215,1,0.223333333,2,0.19,1,0.3,1,0.31,1
0.1825,1,0.52,2,0.23,1,0.246666667,2,0.26,1,0.47,2,0.29,1
0.175,1,0.134,1,0.43,2,0.103333333,1,0.44,2,0.1825,1,0.22,1
0.1375,1,0.498,2,0.375,2,0.253333333,1,0.185,1,0.2475,1,0.25,1
0.015,1,0.09,1,0.26,1,0.043333333,1,0.455,1,0.25,1,0.37,1
0.0275,1,0.094,1,0.05,1,0.08,1,0.13,1,0.0225,1,0.07,1
0.08,1,0.408,1,0.34,1,0.46,2,0.245,1,0.15,1,0.44,1
0.07,1,0.046,1,0.06,1,0.103333333,1,0.04,1,0.4125,2,0.76,2
0.0825,1,0.44,2,0.67,2,0.26,1,0.09,1,0.2675,1,0.32,1
0.0375,1,0.214,1,0.16,1,0.806666667,2,0.31,2,0.155,1,0.17,1
0.21,1,0.728,2,0.745,2,0.026666667,1,0.035,1,0.1625,1,0.11,1
0.3375,1,0.246,1,0.01,1,0.74,2,0.12,1,0.0725,1,0.18,1
0.195,1,0.518,2,0.29,1,0.52,2,0.49,2,0.445,2,0.43,2
0.0175,1,0.162,1,0.22,2,0.173333333,1,0.64,2,0.41,1,0.07,1
0.6375,2,0.098,1,0.075,1,0.073333333,1,0.045,1,0.3875,1,0.31,1
0.0075,1,0.904,2,0.54,2,0.053333333,1,0.08,1,0.2875,1,0.41,1
0.4675,2,0.382,2,0.88,2,0.313333333,1,0.215,1,0.7075,2,0.49,2
0.1575,1,0.682,2,0.055,1,0.893333333,2,0.34,2,0.0425,1,0.46,2
0.2275,1,0.212,2,0.065,1,0.283333333,1,0.07,1,0.1,1,0.25,1
0.4375,1,0.124,1,0.19,1,0.176666667,1,0.695,2,0.6,2,0.18,1
0.295,1,0.172,1,0.105,1,0.18,1,0.1,1,0.62,2,0.15,1
0.6625,1,0.298,1,0.035,1,0.043333333,1,0.12,1,0.5475,2,0.16,1
0.5075,2,0.064,1,0.14,1,0.29,2,0.13,1,0.365,1,0.08,1
0.28,2,0.484,2,0.18,1,0.083333333,1,0.24,1,0.05,1,0.52,1
0.0725,1,0.032,1,0.045,1,0.096666667,1,0.23,1,0.075,1,0.29,1
0.34,1,0.768,1,0.04,1,0.71,2,0.01,1,0.0325,1,0.74,2
0.73,2,0.36,1,0.35,1,0.483333333,2,0.24,1,0.145,1,0.06,1
0.045,1,0.066,1,0.25,2,0.27,1,0.205,1,0.6725,2,0.07,1
0.6275,1,0.632,2,0.22,1,0.133333333,1,0.2,1,0.255,1,0.64,2
0.8375,2,0.112,1,0.34,1,0.236666667,1,0.16,1,0.2575,2,0.28,1
0.5175,2,0.232,2,0,1,0.063333333,1,0.585,2,0.075,1,0.71,2
0.39,1,0.052,1,0.06,1,0.226666667,1,0.335,2,0.2475,1,0.14,1
0.57,2,0.032,1,0.2,1,0.56,1,0.455,2,0.3375,2,0.59,2
0.055,1,0.064,1,0.285,2,0.02,1,0.105,1,0.6075,2,0.37,1
0.0525,1,0.028,1,0.03,1,0.013333333,1,0.07,1,0.11,1,0.26,1
0.8425,2,0.718,2,0.195,1,0.086666667,1,0.525,2,0.1575,1,0.49,2
0.0075,1,0.142,1,0.655,2,0.74,2,0.345,1,0.3775,1,0.57,2
0.535,2,0.638,2,0.19,1,0.75,2,0.3,1,0.37,1,0.12,1
0.655,1,0.074,1,0.3,1,0.196666667,1,0.06,1,0.1875,1,0.59,2
0.3075,1,0.428,2,0.095,1,0.71,2,0.14,1,0.28,1,0.55,2
0.005,1,0.006,1,0.63,2,0.123333333,1,0.265,1,0.2975,1,0.09,1
0.195,1,0.366,2,0.255,1,0.053333333,1,0.27,1,0.27,1,0.14,1
0.7075,2,0.168,1,0.145,1,0.366666667,1,0.375,1,0.69,2,0.02,1
0.03,1,0.088,1,0.255,1,0.18,1,0.15,1,0.0925,1,0.64,2
0.095,1,0.11,1,0.57,2,0.523333333,2,0.115,1,0.1525,1,0.09,1
0.0425,1,0.056,1,0.365,2,0.276666667,1,0.09,1,0.275,1,0.46,2
0.135,1,0.01,1,0.205,1,0.01,1,0.15,1,0.1075,1,0.19,1
0.0725,1,0.114,1,0.455,2,0.116666667,1,0.53,2,0.39,1,0.34,1
0.105,1,0.286,1,0.08,1,0.06,1,0.085,1,0.04,1,0.07,1
0.1025,1,0.252,1,0.335,1,0.003333333,1,0.405,2,0.165,1,0.29,1
0.25,1,0.368,1,0.35,2,0.23,1,0.38,1,0.1675,1,0.11,1
0.6325,2,0.104,1,0.13,1,0.583333333,2,0.735,2,0.4425,2,0.07,1
0.075,1,0.434,1,0.3,1,0.053333333,1,0.815,2,0.16,1,0.09,1
0.2875,2,0.48,2,0.085,1,0.41,1,0.65,2,0.2625,1,0.21,1
0.2125,1,0.616,1,0.795,2,0.756666667,2,0.655,2,0.0325,1,0.05,1
0.2625,1,0.008,1,0.505,1,0.703333333,2,0.23,1,0.445,2,0.28,1
0.1075,1,0.568,2,0.29,1,0.106666667,1,0.085,1,0.175,1,0.13,1
0.155,1,0.102,1,0.155,2,0.016666667,1,0.665,2,0.5175,2,0.42,2
0.045,1,0.648,2,0.205,1,0.366666667,1,0.19,1,0.0825,1,0.14,1
0.185,1,0.17,1,0.235,1,0.003333333,1,0.06,1,0.0275,1,0.18,1
0.12,1,0.366,1,0.705,2,0.116666667,1,0.06,1,0.6325,2,0.02,1
0.355,2,0.586,2,0.225,1,0.11,1,0.195,1,0.1025,1,0.16,1
0.5,1,0.11,1,0.105,1,0.71,2,0.055,1,0.275,1,0.52,2
0.0275,1,0.576,2,0.405,2,0.196666667,1,0.28,1,0.445,2,0.45,2
0.06,1,0.84,2,0.04,1,0.543333333,2,0.545,2,0.3675,2,0.77,2
0.4025,2,0.134,1,0.035,1,0.103333333,1,0.245,1,0.3525,2,0.1,1
0.1175,1,0.094,1,0.09,1,0.233333333,1,0.405,2,0.15,1,0.07,1
0.2575,2,0.758,2,0.625,2,0.44,1,0.335,2,0.1525,1,0.11,1
0.1925,1,0.386,1,0.02,1,0.313333333,2,0.425,2,0.1975,1,0.41,2
0.08,1,0.136,1,0.49,2,0.78,2,0.705,2,0.105,1,0.07,1
0.31,2,0.952,2,0.505,1,0.65,2,0.6,2,0.0775,1,0.65,2
0.625,1,0.49,2,0.625,2,0.01,1,0.13,1,0.11,1,0.34,1
