probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext
0.5125,2,0.61,2,0.63,2,0.616666667,2,0.51,2,0.585,2,0.6,2
0.53,2,0.602,2,0.595,2,0.58,2,0.435,2,0.5675,2,0.46,2
0.7,2,0.71,2,0.835,2,0.716666667,2,0.66,2,0.6625,2,0.69,2
0.54,2,0.6,2,0.665,2,0.59,2,0.56,2,0.6125,2,0.46,2
0.7775,2,0.55,2,0.67,2,0.72,2,0.585,2,0.5875,2,0.62,2
0.4575,2,0.47,2,0.325,2,0.426666667,2,0.36,2,0.3525,2,0.31,2
0.9475,2,0.946,2,0.925,2,0.94,2,0.86,2,0.8675,2,0.85,2
0.515,2,0.592,2,0.76,2,0.6,2,0.575,2,0.615,2,0.57,2
0.675,2,0.42,2,0.565,2,0.583333333,2,0.515,2,0.4775,2,0.48,2
0.46,2,0.526,2,0.725,2,0.47,2,0.55,2,0.575,2,0.57,2
0.7525,2,0.884,2,0.635,2,0.836666667,2,0.655,2,0.7375,2,0.71,2
0.7225,2,0.53,2,0.635,2,0.676666667,2,0.61,2,0.505,2,0.56,2
0.5925,2,0.694,2,0.63,2,0.626666667,2,0.65,2,0.615,2,0.68,2
0.9425,2,0.902,2,0.85,2,0.916666667,2,0.84,2,0.8125,2,0.78,2
0.855,2,0.912,2,0.47,2,0.913333333,2,0.61,2,0.62,2,0.68,2
0.845,2,0.816,2,0.53,2,0.88,2,0.58,2,0.615,2,0.67,2
0.115,2,0.206,2,0.37,2,0.153333333,2,0.305,2,0.33,2,0.33,2
0.6975,2,0.71,2,0.6,2,0.733333333,2,0.545,2,0.58,2,0.59,2
0.5525,2,0.452,2,0.475,2,0.506666667,2,0.495,2,0.3625,2,0.36,2
0.1825,1,0.23,1,0.315,1,0.226666667,1,0.2,1,0.255,1,0.31,1
0.0225,1,0.028,1,0.085,1,0.006666667,1,0.065,1,0.065,1,0.04,1
0.2325,1,0.396,1,0.205,1,0.303333333,1,0.195,1,0.255,1,0.28,1
0.1425,1,0.602,1,0.24,1,0.423333333,1,0.145,1,0.3175,1,0.3,1
0.06,1,0.048,1,0.185,1,0.036666667,1,0.135,1,0.1125,1,0.14,1
0.135,1,0.172,1,0.2,1,0.113333333,1,0.16,1,0.1325,1,0.1,1
0.2925,1,0.274,1,0.23,1,0.223333333,1,0.24,1,0.19,1,0.25,1
0.0675,1,0.132,1,0.135,1,0.086666667,1,0.125,1,0.14,1,0.18,1
0.11,1,0.138,1,0.12,1,0.13,1,0.09,1,0.09,1,0.1,1
0.125,1,0.146,1,0.21,1,0.13,1,0.15,1,0.1675,1,0.21,1
0.0325,1,0.098,1,0.19,1,0.03,1,0.14,1,0.115,1,0.13,1
0.1575,1,0.084,1,0.085,1,0.1,1,0.125,1,0.105,1,0.19,1
0.1725,1,0.202,1,0.45,1,0.156666667,1,0.175,1,0.27,1,0.26,1
0.09,1,0.12,1,0.035,1,0.106666667,1,0.095,1,0.11,1,0.11,1
0.0225,1,0.134,1,0.105,1,0.05,1,0.045,1,0.1375,1,0.06,1
0.33,1,0.284,1,0.435,1,0.333333333,1,0.365,1,0.325,1,0.37,1
0.03,1,0.022,1,0.125,1,0.026666667,1,0.11,1,0.11,1,0.06,1
0.315,1,0.392,1,0.145,1,0.356666667,1,0.255,1,0.265,1,0.36,1
0.19,1,0.196,1,0.235,1,0.176666667,1,0.195,1,0.2125,1,0.17,1
0.17,1,0.126,1,0.035,1,0.15,1,0.155,1,0.0975,1,0.15,1
0.06,1,0.176,1,0.365,1,0.11,1,0.26,1,0.245,1,0.2,1
0.45,1,0.196,1,0.405,1,0.353333333,1,0.44,1,0.3375,1,0.34,1
0.015,1,0.146,1,0.03,1,0.073333333,1,0.04,1,0.1175,1,0.15,1
0.345,1,0.412,1,0.365,1,0.38,1,0.31,1,0.3575,1,0.37,1
0.0425,1,0.018,1,0.015,1,0.016666667,1,0.04,1,0.0225,1,0.02,1
0.0575,1,0.062,1,0.185,1,0.05,1,0.16,1,0.11,1,0.15,1
0.0375,1,0.188,1,0.17,1,0.136666667,1,0.115,1,0.2675,1,0.23,1
0.1125,1,0.36,1,0.55,1,0.303333333,1,0.425,1,0.53,1,0.41,1
0.1725,1,0.132,1,0.2,1,0.146666667,1,0.195,1,0.1375,1,0.11,1
0.2475,1,0.188,1,0.205,1,0.236666667,1,0.28,1,0.2,1,0.25,1
0.1475,1,0.09,1,0.35,1,0.093333333,1,0.245,1,0.2525,1,0.26,1
0.7225,1,0.746,1,0.39,1,0.76,1,0.505,1,0.545,1,0.55,1
0.165,1,0.12,1,0.58,1,0.146666667,1,0.38,1,0.3425,1,0.38,1
0.24,1,0.166,1,0.16,1,0.196666667,1,0.21,1,0.1625,1,0.16,1
0.34,1,0.512,1,0.46,1,0.383333333,1,0.355,1,0.4625,1,0.35,1
0.2725,1,0.442,1,0.41,1,0.403333333,1,0.28,1,0.3875,1,0.35,1
0.17,1,0.208,1,0.435,1,0.156666667,1,0.255,1,0.3125,1,0.3,1
0.125,1,0.102,1,0.325,1,0.106666667,1,0.29,1,0.1925,1,0.2,1
0.0975,1,0.122,1,0.035,1,0.083333333,1,0.11,1,0.1125,1,0.06,1
0.0325,1,0.026,1,0.03,1,0.026666667,1,0.045,1,0.0525,1,0.06,1
0.0525,1,0.084,1,0.01,1,0.043333333,1,0.045,1,0.08,1,0.08,1
0.0425,1,0.008,1,0.33,1,0.01,1,0.195,1,0.155,1,0.1,1
0.21,1,0.32,1,0.225,1,0.22,1,0.18,1,0.195,1,0.28,1
0.0425,1,0.094,1,0.15,1,0.09,1,0.1,1,0.1025,1,0.06,1
0.6875,1,0.542,1,0.225,1,0.656666667,1,0.38,1,0.335,1,0.36,1
0.3475,1,0.352,1,0.305,1,0.443333333,1,0.38,1,0.35,1,0.31,1
0.105,1,0.192,1,0.26,1,0.176666667,1,0.215,1,0.23,1,0.2,1
0.3275,1,0.382,1,0.255,1,0.413333333,1,0.25,1,0.3175,1,0.28,1
0.305,1,0.296,1,0.38,1,0.3,1,0.315,1,0.2825,1,0.28,1
0.6025,1,0.586,1,0.485,1,0.573333333,1,0.44,1,0.57,1,0.63,1
0.1975,1,0.278,1,0.375,1,0.176666667,1,0.35,1,0.2575,1,0.29,1
0.1275,1,0.192,1,0.16,1,0.173333333,1,0.19,1,0.1925,1,0.21,1
0.0275,1,0.042,1,0.005,1,0.043333333,1,0.035,1,0.03,1,0,1
0.06,1,0.074,1,0.055,1,0.04,1,0.065,1,0.1025,1,0.05,1
0.4625,1,0.582,1,0.645,1,0.566666667,1,0.51,1,0.5075,1,0.6,1
0.6325,1,0.334,1,0.625,1,0.51,1,0.53,1,0.475,1,0.53,1
0.07,1,0.044,1,0.25,1,0.033333333,1,0.14,1,0.1575,1,0.1,1
0.025,1,0.024,1,0.375,1,0.013333333,1,0.21,1,0.19,1,0.09,1
0.045,1,0.126,1,0.205,1,0.08,1,0.185,1,0.1825,1,0.09,1
0.0925,1,0.288,1,0.275,1,0.21,1,0.25,1,0.3125,1,0.25,1
0.0425,1,0.26,1,0.445,1,0.133333333,1,0.24,1,0.3525,1,0.28,1
0.37,1,0.182,1,0.275,1,0.316666667,1,0.38,1,0.2075,1,0.26,1
0.1125,1,0.08,1,0.03,1,0.076666667,1,0.035,1,0.065,1,0.11,1
0.16,1,0.192,1,0.555,1,0.163333333,1,0.415,1,0.42,1,0.32,1
0.02,1,0.054,1,0.135,1,0.03,1,0.09,1,0.115,1,0.06,1
0.5325,1,0.46,1,0.8,1,0.476666667,1,0.65,1,0.63,1,0.6,1
0.085,1,0.26,1,0.005,1,0.16,1,0.02,1,0.16,1,0.15,1
0.415,1,0.518,1,0.54,1,0.473333333,1,0.455,1,0.48,1,0.45,1
0.19,1,0.116,1,0.22,1,0.146666667,1,0.25,1,0.155,1,0.16,1
0.1925,1,0.16,1,0.1,1,0.146666667,1,0.135,1,0.145,1,0.09,1
0.065,1,0.084,1,0.055,1,0.076666667,1,0.065,1,0.0875,1,0.07,1
0.1075,1,0.28,1,0.13,1,0.203333333,1,0.085,1,0.1775,1,0.17,1
0.0575,1,0.106,1,0.145,1,0.076666667,1,0.12,1,0.16,1,0.21,1
0.125,1,0.496,1,0.11,1,0.31,1,0.1,1,0.315,1,0.34,1
0.225,1,0.148,1,0.2,1,0.166666667,1,0.16,1,0.175,1,0.16,1
0.3825,1,0.51,1,0.37,1,0.45,1,0.36,1,0.4,1,0.42,1
0.6225,1,0.552,1,0.445,1,0.656666667,1,0.44,1,0.395,1,0.37,1
0.025,1,0.06,1,0.15,1,0.026666667,1,0.085,1,0.11,1,0.04,1
0.1,1,0.264,1,0.125,1,0.206666667,1,0.175,1,0.2075,1,0.13,1
0.51,1,0.356,1,0.63,1,0.416666667,1,0.45,1,0.3975,1,0.51,1
0.1075,1,0.056,1,0.095,1,0.053333333,1,0.085,1,0.08,1,0.18,1
0.5975,1,0.396,1,0.405,1,0.49,1,0.425,1,0.38,1,0.55,1
0.0325,1,0.084,1,0.16,1,0.026666667,1,0.11,1,0.0925,1,0.09,1
0.24,1,0.248,1,0.26,1,0.193333333,1,0.295,1,0.26,1,0.26,1
0.0575,1,0.048,1,0.365,1,0.066666667,1,0.175,1,0.165,1,0.15,1
0.4875,1,0.232,1,0.35,1,0.423333333,1,0.37,1,0.245,1,0.4,1
0.155,1,0.268,1,0.11,1,0.186666667,1,0.225,1,0.175,1,0.21,1
0.11,1,0.086,1,0,1,0.05,1,0.05,1,0.05,1,0.06,1
0.1675,1,0.36,1,0.465,1,0.25,1,0.335,1,0.435,1,0.3,1
0.1075,1,0.262,1,0.185,1,0.166666667,1,0.155,1,0.22,1,0.19,1
0.2525,1,0.22,1,0.165,1,0.236666667,1,0.205,1,0.195,1,0.18,1
0.19,1,0.264,1,0.015,1,0.183333333,1,0.11,1,0.1575,1,0.18,1
0.3675,1,0.556,1,0.17,1,0.373333333,1,0.2,1,0.2675,1,0.33,1
0.43,1,0.33,1,0.47,1,0.36,1,0.355,1,0.365,1,0.36,1
0.035,1,0.082,1,0.005,1,0.04,1,0.025,1,0.0825,1,0.08,1
0.615,1,0.416,1,0.39,1,0.586666667,1,0.48,1,0.345,1,0.44,1
0.0125,1,0.032,1,0.01,1,0.01,1,0.015,1,0.0175,1,0.06,1
0.0575,1,0.076,1,0.2,1,0.073333333,1,0.12,1,0.155,1,0.04,1
0.415,1,0.502,1,0.545,1,0.516666667,1,0.375,1,0.4975,1,0.39,1
0.0775,1,0.126,1,0.1,1,0.066666667,1,0.06,1,0.05,1,0.04,1
0.125,1,0.256,1,0.355,1,0.196666667,1,0.265,1,0.245,1,0.26,1
0.4775,1,0.386,1,0.54,1,0.523333333,1,0.515,1,0.465,1,0.53,1
0.6175,1,0.638,1,0.51,1,0.56,1,0.435,1,0.4675,1,0.43,1
0.05,1,0.122,1,0.48,1,0.103333333,1,0.325,1,0.3175,1,0.27,1
0.0175,1,0.012,1,0.23,1,0.006666667,1,0.15,1,0.1325,1,0.1,1
0.1725,1,0.346,1,0.515,1,0.326666667,1,0.37,1,0.3775,1,0.37,1
0.0025,1,0.014,1,0.02,1,0.003333333,1,0.02,1,0.0225,1,0.02,1
0.175,1,0.2,1,0.24,1,0.176666667,1,0.245,1,0.1925,1,0.19,1
