probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext,probext,labelext
0.794,2,0.853333333,2,0.652,2,0.744,2,0.715,2,0.66,2,0.695,2
0.986,2,0.97,2,0.936,2,0.952,2,0.95,2,0.935,2,0.945,2
0.896,2,0.976666667,2,0.69,2,0.916,2,0.8,2,0.83,2,0.8375,2
0.97,2,0.986666667,2,0.95,2,0.97,2,0.95,2,0.9775,2,0.9575,2
0.958,2,0.913333333,2,0.912,2,0.89,2,0.93,2,0.9025,2,0.8875,2
0.982,2,0.983333333,2,0.856,2,0.948,2,0.94,2,0.92,2,0.9125,2
0.956,2,0.84,2,0.678,2,0.848,2,0.79,2,0.755,2,0.8,2
0.928,2,0.88,2,0.81,2,0.912,2,0.895,2,0.815,2,0.84,2
0.978,2,0.953333333,2,0.758,2,0.898,2,0.875,2,0.8225,2,0.8475,2
0.958,2,0.96,2,0.754,2,0.938,2,0.795,2,0.8725,2,0.8975,2
0.616,2,0.5,2,0.404,2,0.574,2,0.5,2,0.46,2,0.515,2
0.716,2,0.686666667,2,0.67,2,0.704,2,0.715,2,0.6825,2,0.6825,2
0.232,2,0.393333333,2,0.518,2,0.328,2,0.415,2,0.37,2,0.385,2
0.384,2,0.47,2,0.604,2,0.49,2,0.575,2,0.51,2,0.4925,2
0.176,2,0.183333333,2,0.424,2,0.236,2,0.33,2,0.275,2,0.315,2
0.334,2,0.363333333,2,0.362,2,0.422,2,0.325,2,0.405,2,0.425,2
0.582,2,0.566666667,2,0.664,2,0.604,2,0.66,2,0.6625,2,0.625,2
0.268,2,0.343333333,2,0.376,2,0.304,2,0.335,2,0.24,2,0.2925,2
0.588,2,0.46,2,0.582,2,0.554,2,0.635,2,0.5225,2,0.505,2
0.932,2,0.993333333,2,0.77,2,0.94,2,0.87,2,0.9075,2,0.9225,2
0.348,2,0.29,2,0.392,2,0.32,2,0.325,2,0.3175,2,0.365,2
0.608,2,0.596666667,2,0.626,2,0.612,2,0.65,2,0.5925,2,0.5975,2
0.874,2,0.946666667,2,0.772,2,0.842,2,0.775,2,0.815,2,0.8325,2
0.654,2,0.463333333,2,0.754,2,0.572,2,0.655,2,0.5575,2,0.58,2
0.728,2,0.663333333,2,0.636,2,0.71,2,0.68,2,0.645,2,0.6675,2
0.864,2,0.776666667,2,0.694,2,0.82,2,0.79,2,0.795,2,0.8,2
0.736,2,0.753333333,2,0.55,2,0.758,2,0.625,2,0.6775,2,0.7125,2
0.534,2,0.593333333,2,0.474,2,0.586,2,0.535,2,0.495,2,0.5425,2
0.71,2,0.666666667,2,0.54,2,0.656,2,0.595,2,0.5775,2,0.62,2
0.94,2,0.996666667,2,0.816,2,0.934,2,0.89,2,0.93,2,0.9325,2
0.66,2,0.47,2,0.478,2,0.556,2,0.5,2,0.4575,2,0.4825,2
0.768,2,0.73,2,0.764,2,0.776,2,0.76,2,0.775,2,0.7575,2
0.402,2,0.413333333,2,0.684,2,0.418,2,0.62,2,0.545,2,0.555,2
0.802,2,0.8,2,0.804,2,0.768,2,0.79,2,0.81,2,0.7825,2
0.86,2,0.616666667,2,0.638,2,0.692,2,0.76,2,0.6275,2,0.685,2
0.98,2,0.973333333,2,0.83,2,0.944,2,0.895,2,0.88,2,0.915,2
0.802,2,0.666666667,2,0.748,2,0.706,2,0.78,2,0.72,2,0.715,2
0.614,2,0.593333333,2,0.58,2,0.584,2,0.58,2,0.555,2,0.5575,2
0.702,2,0.59,2,0.568,2,0.694,2,0.64,2,0.675,2,0.68,2
0.372,2,0.246666667,2,0.494,2,0.36,2,0.34,2,0.3425,2,0.345,2
0.358,2,0.396666667,2,0.538,2,0.516,2,0.465,2,0.6025,2,0.61,2
0.502,2,0.463333333,2,0.364,2,0.472,2,0.44,2,0.3625,2,0.4225,2
0.736,2,0.83,2,0.694,2,0.744,2,0.72,2,0.69,2,0.67,2
0.582,2,0.48,2,0.492,2,0.518,2,0.54,2,0.435,2,0.48,2
0.188,2,0.14,2,0.502,2,0.244,2,0.38,2,0.475,2,0.3675,2
0.646,2,0.416666667,2,0.518,2,0.646,2,0.595,2,0.5775,2,0.5925,2
0.682,2,0.6,2,0.588,2,0.662,2,0.66,2,0.545,2,0.5675,2
0.32,2,0.286666667,2,0.526,2,0.304,2,0.47,2,0.4125,2,0.4025,2
0.658,2,0.516666667,2,0.568,2,0.652,2,0.645,2,0.6375,2,0.6575,2
0.634,2,0.436666667,2,0.746,2,0.592,2,0.815,2,0.635,2,0.7,2
0.904,2,0.786666667,2,0.746,2,0.794,2,0.775,2,0.72,2,0.7075,2
0.612,2,0.783333333,2,0.362,2,0.532,2,0.425,2,0.535,2,0.495,2
0.738,2,0.593333333,2,0.51,2,0.694,2,0.64,2,0.59,2,0.625,2
0.436,2,0.366666667,2,0.55,2,0.454,2,0.59,2,0.4725,2,0.485,2
0.444,2,0.486666667,2,0.566,2,0.444,2,0.63,2,0.48,2,0.57,2
0.53,2,0.476666667,2,0.544,2,0.464,2,0.565,2,0.5325,2,0.5525,2
0.468,2,0.533333333,2,0.588,2,0.526,2,0.56,2,0.585,2,0.5575,2
0.702,2,0.736666667,2,0.604,2,0.694,2,0.69,2,0.66,2,0.68,2
0.972,2,0.893333333,2,0.93,2,0.928,2,0.955,2,0.94,2,0.945,2
0.964,2,0.8,2,0.766,2,0.874,2,0.825,2,0.8125,2,0.835,2
0.888,2,0.76,2,0.678,2,0.806,2,0.81,2,0.7375,2,0.805,2
0.588,2,0.59,2,0.594,2,0.578,2,0.58,2,0.535,2,0.5375,2
0.574,2,0.59,2,0.538,2,0.584,2,0.46,2,0.545,2,0.5575,2
0.626,2,0.603333333,2,0.666,2,0.602,2,0.625,2,0.66,2,0.6225,2
0.662,2,0.723333333,2,0.696,2,0.668,2,0.65,2,0.7,2,0.66,2
0.822,2,0.86,2,0.624,2,0.744,2,0.645,2,0.7,2,0.73,2
0.716,2,0.77,2,0.494,2,0.674,2,0.55,2,0.575,2,0.62,2
0.362,2,0.453333333,2,0.68,2,0.452,2,0.63,2,0.5675,2,0.5775,2
0.806,2,0.743333333,2,0.542,2,0.77,2,0.61,2,0.66,2,0.7075,2
0.742,2,0.823333333,2,0.63,2,0.776,2,0.73,2,0.765,2,0.7625,2
0.706,2,0.533333333,2,0.47,2,0.608,2,0.555,2,0.4925,2,0.515,2
0.594,2,0.713333333,2,0.59,2,0.612,2,0.615,2,0.7175,2,0.71,2
0.658,2,0.693333333,2,0.546,2,0.67,2,0.64,2,0.645,2,0.675,2
0.68,2,0.58,2,0.574,2,0.694,2,0.68,2,0.69,2,0.715,2
0.68,2,0.593333333,2,0.586,2,0.698,2,0.635,2,0.6875,2,0.68,2
0.876,2,0.793333333,2,0.708,2,0.884,2,0.815,2,0.7925,2,0.8175,2
0.648,2,0.68,2,0.816,2,0.66,2,0.785,2,0.765,2,0.7625,2
0.85,2,0.873333333,2,0.786,2,0.8,2,0.815,2,0.81,2,0.795,2
0.784,2,0.623333333,2,0.584,2,0.61,2,0.625,2,0.5325,2,0.5825,2
0.396,2,0.316666667,2,0.422,2,0.364,2,0.425,2,0.355,2,0.3825,2
0.248,2,0.286666667,2,0.35,2,0.316,2,0.395,2,0.36,2,0.315,2
0.85,2,0.58,2,0.766,2,0.654,2,0.84,2,0.6675,2,0.745,2
0.664,2,0.673333333,2,0.55,2,0.634,2,0.615,2,0.6175,2,0.58,2
0.722,2,0.65,2,0.498,2,0.644,2,0.555,2,0.6075,2,0.625,2
0.512,2,0.46,2,0.368,2,0.5,2,0.45,2,0.455,2,0.5,2
0.67,2,0.59,2,0.826,2,0.628,2,0.725,2,0.8,2,0.78,2
0.81,2,0.676666667,2,0.868,2,0.728,2,0.795,2,0.8175,2,0.8125,2
0.734,2,0.6,2,0.75,2,0.684,2,0.765,2,0.805,2,0.7825,2
0.862,2,0.63,2,0.868,2,0.736,2,0.895,2,0.77,2,0.815,2
0.9,2,0.99,2,0.74,2,0.92,2,0.765,2,0.8625,2,0.875,2
0.954,2,0.913333333,2,0.78,2,0.892,2,0.815,2,0.7175,2,0.79,2
0.962,2,0.983333333,2,0.822,2,0.954,2,0.87,2,0.9125,2,0.9225,2
0.896,2,0.953333333,2,0.768,2,0.894,2,0.73,2,0.795,2,0.7975,2
0.942,2,0.896666667,2,0.702,2,0.922,2,0.705,2,0.7,2,0.73,2
0.842,2,0.87,2,0.614,2,0.794,2,0.75,2,0.685,2,0.7225,2
0.994,2,1,2,0.884,2,0.986,2,0.93,2,0.97,2,0.9725,2
0.832,2,0.776666667,2,0.748,2,0.784,2,0.84,2,0.82,2,0.8025,2
0.696,2,0.513333333,2,0.558,2,0.544,2,0.59,2,0.4725,2,0.62,2
0.632,2,0.456666667,2,0.484,2,0.476,2,0.475,2,0.4525,2,0.5525,2
0.606,2,0.633333333,2,0.504,2,0.574,2,0.595,2,0.4775,2,0.5425,2
0.69,2,0.74,2,0.64,2,0.708,2,0.63,2,0.6875,2,0.665,2
0.972,2,0.89,2,0.774,2,0.89,2,0.835,2,0.7925,2,0.8575,2
0.754,2,0.563333333,2,0.76,2,0.672,2,0.82,2,0.67,2,0.7475,2
0.518,2,0.523333333,2,0.386,2,0.466,2,0.485,2,0.39,2,0.425,2
0.32,2,0.273333333,2,0.55,2,0.376,2,0.46,2,0.4075,2,0.445,2
0.846,2,0.886666667,2,0.626,2,0.834,2,0.695,2,0.755,2,0.8125,2
0.944,2,0.993333333,2,0.716,2,0.956,2,0.835,2,0.8775,2,0.8775,2
0.456,2,0.576666667,2,0.518,2,0.57,2,0.485,2,0.54,2,0.5525,2
0.608,2,0.673333333,2,0.726,2,0.692,2,0.76,2,0.85,2,0.7775,2
0.878,2,0.81,2,0.782,2,0.83,2,0.905,2,0.8125,2,0.8475,2
0.752,2,0.64,2,0.664,2,0.746,2,0.77,2,0.75,2,0.745,2
0.816,2,0.69,2,0.762,2,0.832,2,0.815,2,0.8025,2,0.7825,2
0.864,2,0.816666667,2,0.476,2,0.856,2,0.63,2,0.6375,2,0.7275,2
0.916,2,0.746666667,2,0.772,2,0.786,2,0.89,2,0.7325,2,0.8075,2
0.768,2,0.646666667,2,0.488,2,0.646,2,0.53,2,0.5075,2,0.585,2
0.744,2,0.66,2,0.544,2,0.656,2,0.61,2,0.5875,2,0.645,2
0.874,2,0.813333333,2,0.872,2,0.848,2,0.905,2,0.91,2,0.8975,2
0.686,2,0.596666667,2,0.394,2,0.63,2,0.575,2,0.445,2,0.5075,2
0.916,2,0.86,2,0.774,2,0.87,2,0.855,2,0.7875,2,0.85,2
0.674,2,0.78,2,0.548,2,0.704,2,0.545,2,0.7175,2,0.7,2
0.952,2,0.956666667,2,0.826,2,0.938,2,0.875,2,0.9375,2,0.8975,2
0.794,2,0.713333333,2,0.726,2,0.672,2,0.695,2,0.6,2,0.7,2
0.396,1,0.373333333,1,0.374,1,0.398,1,0.41,1,0.3125,1,0.405,1
0.322,1,0.44,1,0.5,1,0.424,1,0.51,1,0.4475,1,0.4175,1
0.32,1,0.25,1,0.45,1,0.414,1,0.48,1,0.4125,1,0.4375,1
0.024,1,0.056666667,1,0.31,1,0.116,1,0.18,1,0.1575,1,0.1375,1
0.006,1,0.053333333,1,0.132,1,0.058,1,0.1,1,0.09,1,0.07,1
0.15,1,0.196666667,1,0.328,1,0.306,1,0.325,1,0.345,1,0.345,1
0.108,1,0.08,1,0.06,1,0.126,1,0.16,1,0.0825,1,0.0675,1
0.574,1,0.61,1,0.636,1,0.606,1,0.6,1,0.61,1,0.61,1
0.248,1,0.18,1,0.326,1,0.29,1,0.29,1,0.28,1,0.3025,1
0.146,1,0.17,1,0.11,1,0.2,1,0.105,1,0.17,1,0.1575,1
0.046,1,0.04,1,0.056,1,0.066,1,0.09,1,0.0725,1,0.075,1
0.846,1,0.643333333,1,0.692,1,0.772,1,0.77,1,0.7575,1,0.7775,1
0.286,1,0.21,1,0.468,1,0.262,1,0.39,1,0.3325,1,0.355,1
0.208,1,0.18,1,0.192,1,0.246,1,0.285,1,0.2025,1,0.275,1
0.126,1,0.4,1,0.378,1,0.358,1,0.405,1,0.405,1,0.41,1
0.204,1,0.25,1,0.324,1,0.268,1,0.32,1,0.2875,1,0.245,1
0.356,1,0.56,1,0.632,1,0.502,1,0.49,1,0.655,1,0.4875,1
0.576,1,0.603333333,1,0.706,1,0.598,1,0.635,1,0.69,1,0.6325,1
0.392,1,0.36,1,0.508,1,0.378,1,0.495,1,0.3525,1,0.3825,1
0.068,1,0.073333333,1,0.15,1,0.078,1,0.125,1,0.105,1,0.075,1
0.324,1,0.306666667,1,0.316,1,0.382,1,0.35,1,0.3575,1,0.3325,1
0.206,1,0.323333333,1,0.302,1,0.334,1,0.285,1,0.305,1,0.295,1
0.128,1,0.28,1,0.346,1,0.22,1,0.29,1,0.2575,1,0.2525,1
0.114,1,0.186666667,1,0.252,1,0.248,1,0.28,1,0.2675,1,0.265,1
0.144,1,0.133333333,1,0.13,1,0.142,1,0.175,1,0.1075,1,0.1425,1
0.174,1,0.196666667,1,0.334,1,0.242,1,0.305,1,0.2475,1,0.25,1
0.148,1,0.206666667,1,0.274,1,0.332,1,0.3,1,0.3425,1,0.3375,1
0.68,1,0.623333333,1,0.636,1,0.652,1,0.685,1,0.61,1,0.6525,1
0.158,1,0.103333333,1,0.184,1,0.104,1,0.155,1,0.1375,1,0.1425,1
0.422,1,0.42,1,0.526,1,0.404,1,0.53,1,0.5425,1,0.49,1
0.552,1,0.57,1,0.61,1,0.616,1,0.59,1,0.655,1,0.6525,1
0,1,0.026666667,1,0.09,1,0.02,1,0.05,1,0.0575,1,0.0475,1
0.406,1,0.29,1,0.544,1,0.428,1,0.47,1,0.57,1,0.5275,1
0.08,1,0.126666667,1,0.226,1,0.158,1,0.19,1,0.24,1,0.215,1
0.128,1,0.186666667,1,0.318,1,0.25,1,0.17,1,0.2875,1,0.31,1
0.05,1,0.036666667,1,0.168,1,0.118,1,0.12,1,0.1525,1,0.11,1
0.328,1,0.556666667,1,0.382,1,0.456,1,0.33,1,0.465,1,0.435,1
0.158,1,0.21,1,0.2,1,0.246,1,0.175,1,0.21,1,0.21,1
0.668,1,0.553333333,1,0.626,1,0.66,1,0.655,1,0.71,1,0.68,1
0.792,1,0.846666667,1,0.518,1,0.722,1,0.555,1,0.64,1,0.68,1
0.328,1,0.486666667,1,0.202,1,0.348,1,0.3,1,0.2675,1,0.3025,1
0.126,1,0.263333333,1,0.158,1,0.234,1,0.23,1,0.2,1,0.2375,1
0.058,1,0.166666667,1,0.206,1,0.176,1,0.245,1,0.1975,1,0.185,1
0.168,1,0.183333333,1,0.128,1,0.168,1,0.185,1,0.1275,1,0.195,1
0.578,1,0.353333333,1,0.59,1,0.484,1,0.62,1,0.515,1,0.515,1
0.264,1,0.16,1,0.48,1,0.244,1,0.42,1,0.3725,1,0.3525,1
0.712,1,0.58,1,0.562,1,0.626,1,0.64,1,0.5675,1,0.61,1
0.73,1,0.736666667,1,0.638,1,0.746,1,0.62,1,0.705,1,0.6925,1
0.368,1,0.27,1,0.324,1,0.306,1,0.365,1,0.305,1,0.265,1
0.068,1,0.143333333,1,0.158,1,0.116,1,0.115,1,0.115,1,0.1075,1
0.64,1,0.67,1,0.516,1,0.628,1,0.665,1,0.52,1,0.635,1
0.148,1,0.193333333,1,0.266,1,0.218,1,0.26,1,0.2825,1,0.25,1
0.176,1,0.24,1,0.234,1,0.284,1,0.205,1,0.2225,1,0.2275,1
0.45,1,0.68,1,0.696,1,0.588,1,0.605,1,0.6425,1,0.6825,1
0.098,1,0.13,1,0.196,1,0.144,1,0.155,1,0.13,1,0.1225,1
0.176,1,0.196666667,1,0.402,1,0.23,1,0.365,1,0.3075,1,0.275,1
0.582,1,0.376666667,1,0.462,1,0.394,1,0.49,1,0.3575,1,0.445,1
0.326,1,0.276666667,1,0.65,1,0.4,1,0.515,1,0.5875,1,0.5675,1
0.338,1,0.283333333,1,0.472,1,0.386,1,0.455,1,0.3675,1,0.4375,1
0.022,1,0.08,1,0.05,1,0.07,1,0.02,1,0.08,1,0.0675,1
0.542,1,0.193333333,1,0.554,1,0.358,1,0.44,1,0.4425,1,0.455,1
0.82,1,0.866666667,1,0.474,1,0.782,1,0.605,1,0.72,1,0.7175,1
0.21,1,0.176666667,1,0.252,1,0.184,1,0.29,1,0.215,1,0.2175,1
0.088,1,0.15,1,0.12,1,0.178,1,0.18,1,0.17,1,0.1825,1
0.336,1,0.356666667,1,0.286,1,0.306,1,0.35,1,0.305,1,0.3275,1
0.254,1,0.25,1,0.346,1,0.314,1,0.315,1,0.29,1,0.3,1
0.092,1,0.14,1,0.246,1,0.2,1,0.205,1,0.2175,1,0.2125,1
0.496,1,0.683333333,1,0.614,1,0.618,1,0.645,1,0.6075,1,0.6375,1
0.122,1,0.146666667,1,0.25,1,0.192,1,0.185,1,0.165,1,0.18,1
0.036,1,0.036666667,1,0.18,1,0.062,1,0.09,1,0.115,1,0.085,1
0.166,1,0.23,1,0.422,1,0.304,1,0.375,1,0.39,1,0.3875,1
0.594,1,0.436666667,1,0.388,1,0.49,1,0.465,1,0.4175,1,0.465,1
0.218,1,0.21,1,0.43,1,0.298,1,0.43,1,0.3025,1,0.3575,1
0.356,1,0.356666667,1,0.268,1,0.392,1,0.34,1,0.345,1,0.395,1
0.314,1,0.456666667,1,0.394,1,0.484,1,0.475,1,0.44,1,0.48,1
0.128,1,0.23,1,0.148,1,0.19,1,0.135,1,0.215,1,0.2025,1
0.244,1,0.356666667,1,0.194,1,0.312,1,0.21,1,0.21,1,0.2625,1
0.534,1,0.436666667,1,0.6,1,0.492,1,0.57,1,0.495,1,0.4825,1
0.412,1,0.316666667,1,0.26,1,0.412,1,0.345,1,0.375,1,0.415,1
0.024,1,0.043333333,1,0.07,1,0.072,1,0.055,1,0.1025,1,0.0725,1
0.006,1,0.06,1,0.074,1,0.074,1,0.05,1,0.0925,1,0.07,1
0.076,1,0.066666667,1,0.266,1,0.136,1,0.2,1,0.16,1,0.1825,1
0.102,1,0.23,1,0.198,1,0.216,1,0.15,1,0.2325,1,0.1675,1
0.334,1,0.31,1,0.584,1,0.368,1,0.56,1,0.45,1,0.435,1
0.172,1,0.113333333,1,0.266,1,0.188,1,0.235,1,0.2375,1,0.2475,1
0.186,1,0.24,1,0.356,1,0.28,1,0.285,1,0.3025,1,0.3,1
0.254,1,0.26,1,0.386,1,0.38,1,0.435,1,0.38,1,0.3825,1
0.284,1,0.323333333,1,0.464,1,0.36,1,0.41,1,0.445,1,0.3875,1
0.014,1,0.056666667,1,0.184,1,0.066,1,0.075,1,0.1375,1,0.105,1
0.7,1,0.626666667,1,0.394,1,0.508,1,0.445,1,0.4,1,0.4175,1
0.026,1,0.043333333,1,0.138,1,0.078,1,0.055,1,0.0975,1,0.09,1
0.276,1,0.306666667,1,0.374,1,0.33,1,0.33,1,0.2575,1,0.2775,1
0.3,1,0.4,1,0.548,1,0.42,1,0.5,1,0.4825,1,0.46,1
0.166,1,0.45,1,0.516,1,0.376,1,0.375,1,0.565,1,0.4625,1
0.428,1,0.333333333,1,0.374,1,0.416,1,0.395,1,0.37,1,0.3625,1
0.154,1,0.23,1,0.25,1,0.208,1,0.2,1,0.29,1,0.2425,1
0.554,1,0.46,1,0.4,1,0.526,1,0.42,1,0.4,1,0.44,1
0.408,1,0.453333333,1,0.394,1,0.4,1,0.435,1,0.4125,1,0.4025,1
0.338,1,0.323333333,1,0.366,1,0.376,1,0.43,1,0.3775,1,0.3625,1
0.36,1,0.34,1,0.324,1,0.414,1,0.285,1,0.3525,1,0.4,1
0.314,1,0.336666667,1,0.238,1,0.306,1,0.27,1,0.225,1,0.28,1
0.3,1,0.233333333,1,0.406,1,0.29,1,0.36,1,0.3575,1,0.31,1
0.116,1,0.296666667,1,0.372,1,0.228,1,0.275,1,0.295,1,0.2775,1
0.12,1,0.143333333,1,0.418,1,0.182,1,0.34,1,0.2625,1,0.2175,1
0.154,1,0.223333333,1,0.176,1,0.228,1,0.18,1,0.25,1,0.245,1
0.074,1,0.216666667,1,0.25,1,0.178,1,0.205,1,0.23,1,0.16,1
0.492,1,0.41,1,0.4,1,0.462,1,0.415,1,0.44,1,0.4675,1
0.046,1,0.133333333,1,0.418,1,0.2,1,0.205,1,0.4575,1,0.31,1
0.684,1,0.703333333,1,0.746,1,0.73,1,0.75,1,0.6975,1,0.72,1
0.562,1,0.583333333,1,0.686,1,0.584,1,0.645,1,0.545,1,0.6075,1
0.59,1,0.523333333,1,0.546,1,0.576,1,0.525,1,0.5175,1,0.595,1
0.116,1,0.126666667,1,0.116,1,0.174,1,0.185,1,0.125,1,0.165,1
0.674,1,0.566666667,1,0.4,1,0.664,1,0.6,1,0.5975,1,0.63,1
0.16,1,0.206666667,1,0.14,1,0.238,1,0.23,1,0.2175,1,0.215,1
0.756,1,0.57,1,0.732,1,0.728,1,0.8,1,0.7025,1,0.7375,1
0.25,1,0.303333333,1,0.24,1,0.296,1,0.225,1,0.2675,1,0.295,1
0.326,1,0.446666667,1,0.372,1,0.392,1,0.385,1,0.4575,1,0.4625,1
0.52,1,0.486666667,1,0.33,1,0.394,1,0.335,1,0.4275,1,0.4175,1
0.126,1,0.08,1,0.3,1,0.108,1,0.25,1,0.2175,1,0.2125,1
0.556,1,0.573333333,1,0.43,1,0.566,1,0.505,1,0.4525,1,0.49,1
0.558,1,0.59,1,0.482,1,0.66,1,0.46,1,0.64,1,0.6025,1
0.088,1,0.073333333,1,0.304,1,0.104,1,0.21,1,0.1725,1,0.2,1
0.174,1,0.173333333,1,0.29,1,0.26,1,0.31,1,0.2575,1,0.2225,1
0.23,1,0.123333333,1,0.222,1,0.202,1,0.225,1,0.205,1,0.22,1
0.464,1,0.28,1,0.314,1,0.352,1,0.315,1,0.28,1,0.35,1
0.22,1,0.213333333,1,0.15,1,0.226,1,0.18,1,0.2425,1,0.2725,1
0.286,1,0.176666667,1,0.084,1,0.202,1,0.15,1,0.125,1,0.14,1
0.06,1,0.14,1,0.096,1,0.15,1,0.085,1,0.125,1,0.115,1
0.152,1,0.246666667,1,0.426,1,0.33,1,0.315,1,0.47,1,0.4025,1
0.108,1,0.196666667,1,0.138,1,0.164,1,0.18,1,0.2075,1,0.1725,1
0.05,1,0.026666667,1,0.106,1,0.084,1,0.06,1,0.0775,1,0.0675,1
0.468,1,0.79,1,0.606,1,0.584,1,0.54,1,0.705,1,0.7125,1
0.88,1,0.746666667,1,0.758,1,0.828,1,0.82,1,0.7425,1,0.8175,1
0.594,1,0.646666667,1,0.362,1,0.506,1,0.435,1,0.5075,1,0.4975,1
0.312,1,0.323333333,1,0.268,1,0.304,1,0.26,1,0.2775,1,0.3075,1
0.496,1,0.373333333,1,0.424,1,0.524,1,0.425,1,0.4925,1,0.495,1
0.222,1,0.203333333,1,0.246,1,0.2,1,0.235,1,0.245,1,0.2425,1
0.238,1,0.38,1,0.33,1,0.33,1,0.275,1,0.39,1,0.36,1
0.234,1,0.223333333,1,0.292,1,0.276,1,0.335,1,0.2725,1,0.235,1
0.082,1,0.046666667,1,0.23,1,0.134,1,0.205,1,0.1875,1,0.135,1
0.314,1,0.336666667,1,0.48,1,0.36,1,0.48,1,0.43,1,0.4575,1
0.34,1,0.506666667,1,0.454,1,0.502,1,0.47,1,0.5625,1,0.5,1
0.058,1,0.13,1,0.204,1,0.132,1,0.18,1,0.17,1,0.19,1
0.824,1,0.803333333,1,0.724,1,0.794,1,0.73,1,0.74,1,0.73,1
0.512,1,0.486666667,1,0.58,1,0.524,1,0.6,1,0.46,1,0.5275,1
0.35,1,0.4,1,0.34,1,0.376,1,0.39,1,0.385,1,0.3475,1
0.226,1,0.216666667,1,0.442,1,0.278,1,0.455,1,0.405,1,0.3225,1
0.15,1,0.453333333,1,0.262,1,0.36,1,0.245,1,0.39,1,0.36,1
0.198,1,0.2,1,0.218,1,0.214,1,0.19,1,0.2225,1,0.2125,1
0.4,1,0.513333333,1,0.226,1,0.486,1,0.33,1,0.3,1,0.3675,1
