probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv,probcv,labelcv
0.58,2,0.935,2,0.45,2,0.215,1,0.315,1,0.865,2,0.36,2
1,2,0.215,1,0.37,1,0.9575,2,0.26,1,0.685,2,0.48,1
0.3,1,0.105,1,0.14,1,0.3125,1,0.465,1,0.2,1,0.6,1
0.42,1,0.235,1,0.26,1,0.7425,2,0.785,2,0.62,2,0.31,2
0.22,1,0.585,1,0.49,2,0.175,1,0.445,1,0.54,2,0.07,1
0.91,2,0.39,1,0.92,2,0.4225,1,0.285,1,0.515,1,0.675,1
0.17,1,0.37,1,0.99,2,0.23,1,0.42,1,0.84,2,0.625,2
1,2,0.57,2,0.26,1,0.5125,1,0.34,1,0.78,2,0.615,2
0.19,1,0.505,2,0.78,2,0.2275,1,0.155,2,0.385,1,0.335,1
0.57,1,0.205,1,0.92,2,0.83,2,0.155,1,0.64,2,0.71,2
0.27,1,0.28,1,0.25,1,0.415,1,0.27,1,0.51,2,0.17,1
1,2,0.175,1,0.67,2,0.195,1,0.635,2,0.97,2,0.64,2
0.62,1,0.345,2,0.18,1,0.69,2,0.19,1,0.305,1,0.96,2
0.25,1,0.645,2,0.77,1,0.1875,1,0.165,1,0.485,2,0.315,1
0.89,2,0.16,2,0.96,2,0.9625,2,0.19,1,0.135,1,0.61,2
0.12,1,0.615,2,0.65,2,0.2475,1,0.635,2,0.76,2,0.245,1
0.14,1,0.56,2,0.97,2,0.495,1,0.295,1,0.925,2,0.13,1
0.83,2,0.9,2,0.24,1,0.235,1,0.4,2,0.52,2,0.38,1
0.73,2,0.195,2,0.94,2,0.385,1,0.87,2,0.205,1,0.715,2
0.13,1,0.325,1,0.41,1,0.2125,1,0.16,1,0.52,2,0.835,2
0.13,1,0.265,2,0.37,1,0.12,1,0.975,2,0.62,2,0.345,1
0.47,1,0.295,2,0.18,1,0.97,2,0.79,1,0.16,1,0.675,2
0.44,2,0.59,1,0.43,1,0.42,1,0.575,2,0.135,1,0.315,1
0.79,2,0.96,2,0.09,1,0.905,2,0.14,1,0.64,2,0.195,1
0.47,2,0.3,1,0.3,1,0.91,2,0.9,2,0.9,2,0.65,2
0.98,2,0.92,2,0.34,1,0.3275,1,0.785,2,0.445,1,0.725,2
0.98,2,0.265,1,0.23,1,0.8525,2,0.33,2,0.265,2,0.955,2
0.22,1,0.22,1,0.41,1,0.255,1,0.475,2,0.145,1,0.885,2
0.06,1,0.86,2,0.13,1,0.59,1,0.87,2,0.28,1,0.19,1
0.47,2,0.28,1,0.36,1,0.685,2,0.605,2,0.505,2,0.365,1
0.03,1,0.92,2,0.23,1,0.8725,2,0.335,1,0.92,2,0.11,1
0.91,2,0.81,2,0.8,2,0.77,2,0.68,2,0.79,2,0.115,1
0.36,1,0.975,2,0.22,1,0.375,2,0.93,2,0.22,1,0.9,2
0.68,2,0.275,1,0.22,1,0.8325,2,0.115,1,0.93,2,0.755,2
0.11,1,0.81,2,0.86,2,0.4775,2,0.185,1,0.25,1,0.84,2
0.46,1,0.62,2,0.33,1,0.27,1,0.46,2,0.53,2,0.65,2
0.21,2,0.935,2,0.27,1,0.985,2,0.415,1,0.135,1,0.565,2
0.26,1,0.405,2,0.78,2,0.545,1,0.755,2,0.615,2,0.575,1
0.93,2,0.66,2,0.43,1,0.2875,1,0.32,1,0.425,2,0.395,1
0.16,1,0.275,1,0.98,2,0.305,2,0.05,1,0.365,1,0.41,1
0.33,1,0.855,2,0.45,2,0.1525,1,0.95,2,0.68,1,0.96,2
0.75,2,0.535,2,0.61,2,0.2475,1,0.325,1,0.545,2,0.215,1
0.95,2,0.115,1,0.34,1,0.36,1,0.27,1,0.435,2,0.575,2
0.94,2,0.66,2,0.24,1,0.4675,1,0.28,1,0.445,1,0.435,2
0.96,2,0.72,2,0.54,1,0.97,2,0.44,2,0.125,1,0.315,1
0.99,2,0.705,2,0.29,1,0.4825,2,0.37,2,0.73,2,0.285,1
0.16,1,0.175,1,0.67,2,0.185,1,0.82,2,0.47,2,0.725,1
0.94,2,0.53,1,0.58,1,0.2975,1,0.215,1,0.505,1,0.275,1
0.23,2,0.805,2,1,2,0.755,2,0.57,2,0.645,2,0.365,1
0.91,2,0.835,2,0.14,1,0.6625,2,0.41,2,0.395,1,0.23,2
0.19,1,0.95,2,0.36,1,0.195,1,0.19,2,0.245,1,0.455,2
0.03,1,0.51,1,0.69,2,0.6025,2,0.595,2,0.175,1,0.505,2
0.28,2,0.595,2,0.34,2,0.1825,1,0.285,1,0.27,1,0.835,2
0.27,1,0.59,1,0.14,1,0.595,1,0.145,1,0.27,1,0.375,2
0.09,1,0.525,2,0.56,1,0.975,2,0.935,2,0.51,1,0.895,2
0.14,1,0.575,1,0.33,2,0.5825,2,0.585,2,0.505,2,0.105,1
0.78,1,0.475,1,0.39,1,0.2075,2,0.51,1,0.9,2,0.27,1
0.45,1,0.81,2,0.18,1,0.2975,1,0.195,2,0.92,2,0.38,1
0.29,2,0.28,2,0.9,2,0.855,2,0.235,1,0.24,1,0.34,1
0.07,1,0.845,2,0.3,1,0.3175,1,0.59,2,0.655,2,0.47,1
0.61,2,0.59,1,0.88,2,0.945,2,0.245,2,0.46,1,0.835,2
0.16,1,0.135,1,0.11,1,0.3525,1,0.46,2,0.945,2,0.52,2
0.69,1,0.325,1,0.25,1,0.845,2,0.09,1,0.43,2,0.23,1
0.1,1,0.435,2,0.52,2,0.2525,1,0.62,2,0.27,1,0.41,1
0.09,1,0.495,1,0.22,2,0.15,1,0.345,1,0.355,1,0.75,2
0.14,1,0.865,2,0.77,2,0.2825,1,0.985,2,0.39,2,0.215,1
0.92,2,0.305,2,0.35,1,0.315,2,0.21,1,0.6,1,0.445,2
0.1,1,0.485,1,0.65,2,0.525,2,0.305,2,0.225,1,0.17,2
0.28,1,0.18,2,0.36,1,0.37,1,0.185,1,0.625,2,0.72,2
0.99,2,0.705,2,0.5,2,0.4275,2,0.635,2,0.115,1,0.56,1
0.79,2,0.215,2,0.81,2,0.6525,2,0.995,2,0.355,1,0.905,2
0.95,2,0.265,2,0.32,1,0.665,2,0.83,2,0.255,2,0.56,2
0.37,1,0.45,1,0.82,2,0.1175,2,0.41,1,0.63,2,0.645,2
0.47,1,0.53,2,0.31,1,0.97,2,0.32,1,0.245,1,0.35,1
0.34,1,0.185,1,0.29,1,0.645,2,0.39,2,0.37,2,0.135,1
0.77,2,0.93,2,0.82,2,0.3425,2,0.905,2,0.165,1,0.13,1
0.21,1,0.405,1,0.93,2,0.9225,2,0.695,2,0.24,1,0.6,2
0.09,1,0.925,2,0.37,1,0.645,2,0.215,1,0.805,2,0.88,2
0.28,1,0.215,1,0.25,1,0.2675,1,0.535,1,0.14,1,0.29,1
0.16,1,0.42,1,0.47,1,0.5675,1,0.9,2,0.555,1,0.135,1
0.98,2,0.165,1,0.6,2,0.2975,1,0.17,1,0.46,1,0.365,2
0.1,1,0.575,1,0.79,2,0.2175,1,0.95,2,0.41,2,0.61,2
0.21,1,0.91,2,0.95,2,0.33,2,0.42,2,0.585,2,0.195,1
0.37,1,0.755,1,0.4,1,0.5125,1,0.325,1,0.485,1,0.255,2
0.72,2,0.43,1,0.96,2,0.295,1,0.725,2,0.25,1,0.805,2
0.1,1,0.265,2,0.86,2,0.165,1,0.335,1,0.29,1,0.36,1
0.05,1,0.58,1,0.88,2,0.67,2,0.65,2,0.065,1,0.715,2
0.97,2,0.985,2,0.58,2,0.2075,1,0.345,1,0.76,2,0.43,1
0.69,2,0.45,1,0.63,2,0.23,1,0.65,2,0.48,1,0.855,2
0.42,1,0.21,2,0.39,1,0.445,1,0.565,1,0.475,1,0.755,2
1,2,0.185,1,0.3,1,0.245,1,0.88,2,0.365,1,0.615,1
0.07,1,0.35,1,0.47,1,0.965,2,0.585,1,0.13,1,0.66,2
0.71,2,0.57,2,0.6,2,0.745,2,0.77,2,0.165,1,0.26,1
1,2,0.26,1,0.91,2,0.2,1,0.155,1,0.495,1,0.47,1
0.14,1,0.375,1,0.73,2,0.395,1,0.34,1,0.435,1,0.875,2
0.54,1,0.94,2,0.8,2,0.12,1,0.28,1,0.53,1,0.265,1
0.22,1,0.825,2,0.17,1,0.42,1,0.6,2,0.56,2,0.15,1
0.57,1,0.175,1,0.82,2,0.1575,1,0.655,2,0.215,1,0.415,2
0.42,2,0.265,1,0.94,2,0.8675,2,0.74,2,0.66,2,0.49,1
0.06,1,0.885,2,0.91,2,0.9625,2,0.57,1,0.585,1,0.295,1
0.21,1,0.43,1,0.98,2,0.9425,2,0.415,1,0.695,2,0.775,2
1,2,0.465,1,0.35,1,0.2825,2,0.195,1,0.715,2,0.33,1
0.12,1,0.87,2,0.28,1,0.88,2,0.28,1,0.265,2,0.75,2
0.55,2,0.185,1,0.55,2,0.3925,2,0.795,2,0.89,2,0.87,2
0.05,1,0.765,2,0.41,1,0.3525,1,0.34,1,0.215,1,0.675,2
0.98,2,0.595,2,0.93,2,0.975,2,0.9,2,0.42,1,0.96,2
0.21,1,0.55,2,0.64,1,0.3525,1,0.785,2,0.475,2,0.42,1
0.33,1,0.87,2,0.32,1,0.1675,1,0.915,2,0.565,2,0.415,1
1,2,0.63,2,0.74,2,0.1625,1,0.115,1,0.64,2,0.53,1
0.98,2,0.95,2,0.89,2,0.1025,1,0.63,2,0.805,2,0.18,1
0.57,2,0.885,2,0.22,1,0.33,1,0.495,2,0.86,2,0.855,2
0.38,1,0.96,2,0.54,2,0.3475,2,0.555,1,0.51,2,0.285,1
0.16,1,0.69,2,0.37,1,0.3075,1,0.91,2,0.61,2,0.94,2
1,2,0.145,1,0.89,2,0.3925,1,0.615,1,0.785,2,0.91,2
0.25,2,0.415,2,0.84,1,0.2,1,0.49,1,0.93,2,0.375,2
0.41,1,0.295,1,0.77,2,0.6725,2,0.935,2,0.35,1,0.735,2
0.4,2,0.285,2,0.8,2,0.545,2,0.225,1,0.785,2,0.435,1
0.38,1,0.455,2,0.16,2,0.5225,1,0.135,1,0.115,1,0.49,2
0.24,1,0.635,2,0.71,2,0.3525,2,0.095,1,0.66,2,0.86,2
0.9,2,0.93,2,0.28,1,0.57,1,0.315,1,0.395,1,0.425,1
1,2,0.54,1,0.2,1,0.8925,2,0.86,2,0.19,1,0.445,1
0.47,1,0.355,1,0.61,2,0.885,2,0.495,2,0.31,2,0.74,2
0.65,1,0.5,2,0.4,1,0.1425,1,0.975,2,0.655,2,0.23,1
0.99,2,0.315,1,0.44,1,0.5125,1,0.41,1,0.415,1,0.805,2
0.45,1,0.48,1,0.4,1,0.34,2,0.425,1,0.77,2,0.75,2
0.21,1,0.215,1,0.81,2,0.635,2,0.69,2,0.3,1,0.19,1
0.2,2,0.265,1,0.8,2,0.455,2,0.46,2,0.46,1,0.285,1
0.95,2,0.625,1,0.39,1,0.8825,2,0.13,1,0.475,2,0.31,1
0.01,1,0.265,1,0.64,1,0.915,2,0.375,1,0.52,1,0.26,1
0.35,1,0.675,2,0.21,1,0.35,2,0.845,2,0.75,2,0.11,1
0.06,1,0.15,1,0.86,2,0.4975,1,0.2,2,0.375,2,0.54,1
0.33,1,0.1,1,0.87,2,0.5775,2,0.735,2,0.555,1,0.205,1
0.56,1,0.71,2,0.29,1,0.49,1,0.35,2,0.38,1,0.41,2
0.83,2,0.275,1,0.88,2,0.385,2,0.075,1,0.195,1,0.48,1
0.23,2,0.92,2,0.6,1,0.24,1,0.23,1,0.61,1,0.185,2
0.27,1,0.58,2,0.83,2,0.9725,2,0.125,1,0.74,2,0.39,1
0.11,1,0.35,1,0.46,1,0.39,1,0.6,1,0.295,2,0.675,1
0.12,2,0.17,1,0.85,2,0.4775,2,0.715,2,0.34,2,0.43,2
0.99,2,0.305,1,0.53,1,0.4,1,0.565,1,0.35,1,0.445,1
0.68,2,0.24,1,0.22,1,0.3925,1,0.93,2,0.37,1,0.72,2
0.96,2,0.835,2,0.52,2,0.5925,2,0.41,2,0.545,2,0.335,1
0.41,1,0.175,1,0.25,1,0.575,2,0.39,1,0.355,1,0.5,2
0.96,2,0.85,2,0.63,2,0.94,2,0.31,2,0.47,2,0.765,2
0.41,1,0.91,2,0.54,2,0.2675,1,0.65,2,0.515,1,0.255,1
0.13,1,0.28,1,0.86,2,0.2275,1,0.78,2,0.385,1,0.125,1
0.22,1,0.095,1,0.62,2,0.515,2,0.81,2,0.165,1,0.735,2
0.94,2,0.4,1,0.07,1,0.8625,2,0.855,2,0.335,1,0.27,1
0.27,1,0.915,2,0.46,1,0.4325,1,0.22,1,0.27,1,0.83,2
0.14,1,0.635,2,0.74,2,0.9675,2,0.93,2,0.83,2,0.225,2
0.21,1,0.695,2,0.65,2,0.15,1,0.755,2,0.395,1,0.72,2
0.87,2,0.94,2,0.15,1,0.9625,2,0.61,1,0.325,1,0.645,2
0.76,2,0.445,2,0.3,2,0.65,1,0.27,2,0.86,2,0.28,1
0.99,2,0.18,1,0.78,2,0.1025,1,0.195,1,0.345,2,0.755,2
0.39,1,0.155,1,0.53,1,0.23,1,0.9,2,0.24,1,0.475,2
0.07,1,0.61,2,0.36,1,0.6775,2,0.445,2,0.56,2,0.285,1
0.12,1,0.225,1,0.55,2,0.575,2,0.56,2,0.405,2,0.625,2
0.92,2,0.555,2,0.59,1,0.3975,2,0.805,2,0.255,1,0.565,1
0.44,1,0.53,2,0.1,1,0.2675,1,0.59,2,0.47,2,0.8,2
0.01,1,0.32,2,0.28,2,0.7125,2,0.595,2,0.23,1,0.41,1
0.49,1,0.865,2,0.09,1,0.7325,2,0.125,1,0.405,1,0.94,2
0.59,2,0.71,2,0.3,1,0.9675,2,0.19,1,0.36,1,0.555,2
0.3,2,0.435,2,0.32,2,0.835,2,0.365,1,0.44,1,0.785,2
0.62,2,0.925,2,0.39,1,0.4575,2,0.215,1,0.355,2,0.565,2
0.07,1,0.435,2,0.45,1,0.675,2,0.32,1,0.37,1,0.26,2
0.61,1,0.795,2,0.19,2,0.35,1,0.545,2,0.18,1,0.73,2
0.19,1,0.15,1,0.68,2,0.53,2,0.715,2,0.265,1,0.51,2
0.11,1,0.415,1,0.26,1,0.0975,1,0.66,2,0.675,2,0.895,2
0.09,1,0.505,1,0.14,1,0.1575,1,0.54,1,0.785,2,0.58,1
0.2,1,0.335,1,0.84,2,0.3825,1,0.68,2,0.825,2,0.79,2
1,2,0.53,2,0.35,2,0.0825,1,0.745,2,0.295,2,0.255,1
0.96,2,0.23,1,0.36,2,0.8375,1,0.205,1,0.7,2,0.87,2
0.44,2,0.635,2,0.89,2,0.4825,2,0.59,2,0.165,1,0.92,2
0.35,1,0.49,1,0.93,1,0.915,2,0.155,1,0.305,2,0.51,2
0.54,1,0.94,2,0.92,2,0.0875,1,0.725,2,0.65,2,0.3,1
0.15,1,0.23,1,0.28,2,0.3025,1,0.82,2,0.515,2,0.805,2
0.13,1,0.355,1,0.47,2,0.2525,1,0.845,2,0.76,2,0.4,1
0.99,2,0.355,1,0.53,1,0.505,2,0.36,1,0.805,2,0.5,1
0.75,2,0.595,2,0.64,1,0.3025,1,0.54,2,0.76,2,0.96,2
0.22,1,0.2,1,0.2,1,0.28,2,0.655,2,0.3,1,0.465,2
0.93,2,0.19,1,0.34,1,0.6725,2,0.37,2,0.76,2,0.24,1
0.21,1,0.585,2,0.49,1,0.9425,2,0.16,1,0.215,1,0.185,2
0.74,2,0.36,1,0.31,2,0.895,2,0.135,1,0.14,1,0.26,1
0.73,2,0.225,1,0.93,2,0.295,1,0.945,2,0.48,1,0.305,1
0.2,2,0.615,2,0.78,2,0.9225,2,0.795,2,0.465,1,0.58,1
0.38,1,0.205,1,0.92,2,0.74,2,0.775,2,0.435,2,0.405,2
0.77,2,0.34,1,0.76,2,0.97,2,0.635,1,0.71,2,0.72,2
0.89,2,0.265,2,0.32,2,0.505,2,0.215,1,0.265,1,0.705,2
0.3,1,0.46,1,0.14,1,0.6825,2,0.265,1,0.505,2,0.54,2
0.4,1,0.765,2,0.93,2,0.225,1,0.28,1,0.705,2,0.855,2
0.99,2,0.475,2,0.69,1,0.27,1,0.145,1,0.105,1,0.2,1
0.21,1,0.29,1,0.22,1,0.6925,2,0.385,1,0.635,2,0.245,1
0.22,1,0.5,1,0.48,1,0.63,2,0.3,1,0.965,2,0.82,2
0.96,2,0.72,2,0.88,2,0.9775,2,0.81,2,0.525,2,0.34,1
0.24,1,0.37,1,0.95,2,0.625,2,0.435,1,0.695,2,0.145,1
0.37,1,0.915,2,0.49,2,0.3875,1,0.83,2,0.675,2,0.73,2
0.78,2,0.82,2,0.28,1,0.6275,1,0.275,1,0.495,2,0.145,1
0.31,1,0.915,2,0.18,1,0.2025,1,0.785,2,0.33,2,0.8,2
0.97,2,0.24,2,0.54,2,0.265,1,0.76,2,0.795,2,0.235,2
0.16,2,0.29,1,0.64,2,0.9325,2,0.225,1,0.58,1,0.32,1
0.3,1,0.245,1,0.47,1,0.4875,1,0.335,1,0.48,1,0.135,1
0.29,1,0.805,2,0.32,1,0.545,2,0.525,2,0.33,1,0.2,1
0.34,2,0.38,1,0.45,1,0.6125,1,0.21,1,0.87,2,0.555,2
0.05,1,0.45,1,0.22,1,0.9225,2,0.615,2,0.27,1,0.65,2
0.98,2,0.135,1,0.74,1,0.885,2,0.76,2,0.855,2,0.11,1
0.79,1,0.33,1,0.27,1,0.7775,2,0.305,1,0.58,1,0.35,1
0.94,2,0.71,2,0.18,2,0.62,2,0.455,2,0.275,1,0.365,1
0.98,2,0.91,2,0.33,1,0.195,1,0.65,2,0.76,2,0.215,1
0.95,2,0.87,2,0.8,2,0.33,1,0.23,1,0.93,2,0.66,2
0.37,2,0.42,1,0.29,1,0.35,2,0.82,2,0.49,1,0.135,1
0.97,1,0.375,2,0.43,1,0.745,2,0.38,1,0.78,2,0.495,1
0.05,2,0.92,2,0.45,1,0.7075,1,0.175,1,0.855,2,0.365,2
0.11,1,0.185,1,0.81,2,0.0625,1,0.53,2,0.565,1,0.24,1
0.46,1,0.81,2,0.38,1,0.2875,1,0.265,1,0.845,2,0.685,2
0.86,2,0.33,1,0.62,2,0.4725,1,0.6,1,0.4,1,0.43,2
0.16,1,0.8,2,0.26,1,0.2675,1,0.36,1,0.7,2,0.365,2
0.99,2,0.295,1,0.83,2,0.6975,2,0.155,1,0.56,2,0.745,2
0.17,1,0.72,1,0.32,1,0.6525,1,0.64,2,0.175,1,0.565,1
0.54,2,0.74,1,0.17,1,0.555,2,0.665,2,0.705,2,0.655,1
0.28,1,0.645,2,0.31,1,0.725,2,0.135,1,0.535,1,0.605,2
0.95,2,0.365,1,0.36,1,0.0775,1,0.265,1,0.97,2,0.44,1
0.55,1,0.485,2,0.42,2,0.7325,2,0.66,2,0.61,2,0.355,1
0.12,1,0.065,1,0.38,2,0.1775,1,0.375,1,0.115,1,0.18,1
0.77,2,0.215,2,0.52,1,0.54,2,0.41,1,0.34,1,0.485,1
0.18,1,0.2,2,0.85,1,0.3325,1,0.35,1,0.29,1,0.54,1
0.99,2,0.285,1,0.32,2,0.885,2,0.34,1,0.435,1,0.795,2
0.6,1,0.705,2,0.21,1,0.04,1,0.36,1,0.47,1,0.8,2
0.44,2,0.32,1,0.22,1,0.8975,2,0.27,1,0.285,1,0.27,1
0.98,2,0.89,2,0.07,1,0.2225,2,0.64,2,0.855,2,0.685,2
0.25,1,0.455,1,0.48,1,0.3775,2,0.145,1,0.535,2,0.685,2
0.61,1,0.61,1,0.59,1,0.3625,1,0.55,2,0.115,1,0.14,1
0.1,1,0.395,1,0.39,1,0.4675,2,0.87,2,0.21,1,0.09,1
0.67,2,0.595,2,0.92,2,0.2625,1,0.025,1,0.63,2,0.515,1
0.36,2,0.935,2,0.87,2,0.4025,2,0.685,1,0.775,2,0.89,2
1,2,0.8,2,0.35,1,0.235,1,0.24,2,0.32,1,0.655,1
0.97,2,0.66,2,0.93,2,0.2075,1,0.17,2,0.445,2,0.46,2
0.43,2,0.79,2,0.32,1,0.6875,2,0.84,2,0.27,1,0.255,1
0.41,2,0.22,1,0.92,2,0.1625,1,0.43,1,0.425,2,0.705,2
0.65,1,0.175,1,0.41,1,0.955,2,0.88,2,0.315,2,0.28,1
0.12,1,0.915,2,0.47,2,0.23,2,0.87,2,0.37,1,0.315,2
0.27,1,0.69,2,0.59,2,0.895,2,0.265,1,0.175,1,0.24,1
0.96,2,0.225,1,0.5,1,0.44,2,0.825,2,0.34,1,0.24,1
0.33,1,0.16,1,0.93,2,0.61,2,0.485,2,0.455,2,0.58,1
0.14,1,0.305,1,0.21,1,0.4975,1,0.86,2,0.37,2,0.255,1
0.5,2,0.55,1,0.1,1,0.5625,1,0.175,1,0.47,1,0.125,1
0.37,1,0.455,2,0.94,2,0.8975,2,0.65,1,0.66,2,0.09,1
0.99,2,0.465,1,0.92,2,0.8675,2,0.285,2,0.565,2,0.45,1
0.24,1,0.805,2,0.21,1,0.64,2,0.395,1,0.475,2,0.61,2
0.13,1,0.37,1,0.19,1,0.295,1,0.28,1,0.73,2,0.445,1
0.51,1,0.865,2,0.95,2,0.8475,2,0.09,1,0.395,1,0.555,1
0.34,1,0.4,2,0.25,1,0.55,1,0.75,2,0.605,2,0.73,2
0.22,1,0.6,1,0.31,2,0.4475,2,0.28,1,0.795,2,0.795,2
0.98,2,0.405,1,0.15,1,0.265,1,0.21,1,0.385,2,0.84,2
0.98,2,0.9,2,0.92,2,0.235,1,0.18,1,0.165,1,0.5,1
0.97,2,0.29,1,0.17,2,0.2775,2,0.615,2,0.67,2,0.515,1
1,2,0.54,2,0.61,1,0.935,2,0.075,1,0.72,2,0.585,2
0.88,2,0.13,1,0.78,2,0.3975,1,0.4,1,0.68,2,0.11,1
0.1,1,0.39,1,0.28,2,0.7975,2,0.455,1,0.33,1,0.245,1
1,2,0.885,2,0.26,1,0.945,2,0.195,1,0.24,2,0.42,1
1,2,0.38,2,0.19,1,0.7,2,0.74,2,0.635,2,0.605,1
0.97,2,0.39,2,0.49,1,0.755,2,0.485,2,0.435,1,0.095,1
0.8,1,0.43,1,0.88,2,0.56,1,0.36,2,0.315,1,0.33,2
